Chrome,Firefox
9.0,4.333333333333333
4.0,2.6666666666666665
2.0,2.3333333333333335
2.6666666666666665,2.3333333333333335
2.3333333333333335,2.0
2.3333333333333335,2.3333333333333335
2.3333333333333335,2.3333333333333335
3.0,2.6666666666666665
3.0,2.6666666666666665
3.3333333333333335,3.0
2.3333333333333335,2.6666666666666665
3.3333333333333335,2.3333333333333335
3.0,3.3333333333333335
3.0,3.3333333333333335
3.0,4.666666666666667
3.0,3.0
3.0,3.3333333333333335
3.0,3.0
3.6666666666666665,3.3333333333333335
3.3333333333333335,3.3333333333333335
3.6666666666666665,3.6666666666666665
3.3333333333333335,4.0
3.6666666666666665,7.666666666666667
3.6666666666666665,7.333333333333333
3.6666666666666665,3.6666666666666665
4.0,3.3333333333333335
4.0,3.6666666666666665
3.6666666666666665,4.0
3.6666666666666665,3.6666666666666665
4.0,4.666666666666667
4.0,3.6666666666666665
4.333333333333333,4.666666666666667
4.0,4.0
4.0,4.666666666666667
4.333333333333333,4.0
4.666666666666667,4.333333333333333
4.0,4.0
4.666666666666667,4.666666666666667
4.333333333333333,4.333333333333333
4.666666666666667,5.333333333333333
4.666666666666667,4.666666666666667
5.0,4.666666666666667
5.0,4.666666666666667
4.333333333333333,4.666666666666667
5.0,5.0
5.333333333333333,5.333333333333333
5.0,4.333333333333333
4.666666666666667,5.333333333333333
5.333333333333333,5.333333333333333
5.0,4.666666666666667
5.333333333333333,5.333333333333333
5.333333333333333,5.333333333333333
5.0,5.666666666666667
6.0,5.333333333333333
5.0,5.0
6.0,6.0
5.0,5.0
6.0,6.0
5.666666666666667,6.0
5.666666666666667,5.333333333333333
5.333333333333333,6.333333333333333
6.0,5.666666666666667
6.0,6.0
5.666666666666667,6.0
6.333333333333333,6.0
6.0,6.0
6.0,6.0
6.0,6.666666666666667
6.0,5.666666666666667
6.333333333333333,6.666666666666667
6.333333333333333,6.333333333333333
6.333333333333333,6.333333333333333
6.666666666666667,7.0
6.0,6.0
