Chrome,Firefox,Safari
4.0,2.6666666666666665,7.666666666666667
1.3333333333333333,1.0,5.666666666666667
1.0,1.0,1.3333333333333333
1.0,0.6666666666666666,2.3333333333333335
1.0,1.0,2.6666666666666665
2.0,1.3333333333333333,1.6666666666666667
1.3333333333333333,0.6666666666666666,2.3333333333333335
1.0,1.0,1.6666666666666667
1.3333333333333333,1.0,1.6666666666666667
1.0,1.6666666666666667,2.3333333333333335
2.0,1.6666666666666667,2.0
1.0,1.0,2.3333333333333335
1.3333333333333333,1.3333333333333333,2.0
1.6666666666666667,1.6666666666666667,2.0
1.3333333333333333,1.6666666666666667,2.6666666666666665
1.6666666666666667,1.3333333333333333,2.0
2.0,1.6666666666666667,2.3333333333333335
1.6666666666666667,1.6666666666666667,2.0
1.6666666666666667,2.0,2.3333333333333335
2.0,1.6666666666666667,2.3333333333333335
2.0,2.0,2.0
2.0,2.0,2.3333333333333335
1.6666666666666667,2.0,2.3333333333333335
2.0,1.3333333333333333,2.0
2.0,2.0,2.3333333333333335
2.3333333333333335,2.3333333333333335,2.3333333333333335
2.0,2.3333333333333335,2.3333333333333335
2.3333333333333335,2.0,2.3333333333333335
2.3333333333333335,2.0,2.3333333333333335
2.3333333333333335,2.6666666666666665,2.6666666666666665
2.0,2.6666666666666665,2.3333333333333335
3.0,2.3333333333333335,2.3333333333333335
2.6666666666666665,2.6666666666666665,3.0
2.3333333333333335,2.0,3.0
3.0,3.0,2.3333333333333335
2.3333333333333335,2.3333333333333335,3.0
3.0,3.0,3.3333333333333335
2.0,3.0,2.6666666666666665
2.3333333333333335,2.6666666666666665,3.0
2.6666666666666665,2.0,3.3333333333333335
3.0,3.3333333333333335,3.3333333333333335
2.6666666666666665,3.0,3.6666666666666665
3.0,2.3333333333333335,3.0
3.0,3.0,3.6666666666666665
3.0,3.0,3.0
3.0,2.6666666666666665,3.3333333333333335
3.0,3.0,4.333333333333333
3.0,3.3333333333333335,3.6666666666666665
3.3333333333333335,3.3333333333333335,3.3333333333333335
3.3333333333333335,3.0,3.3333333333333335
3.0,3.0,3.6666666666666665
3.3333333333333335,3.0,3.6666666666666665
3.0,4.0,3.6666666666666665
